b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,class
'\'(53.8-61.4]\'','\'(57-63.8]\'','\'(77.8-85.5]\'','\'(105-112.2]\'','\'(71.5-77.2]\'','\'(110.5-116]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(61.741-69.854]\'','\'(-13.738--6.465]\'','\'(13.56-22.358]\'','\'(-18.24--11.75]\'','\'(-52.096--46.48]\'','\'(-55.722--50.36]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-24.887--22.984]\'','\'(0.322-1.051]\'','\'(-2.308--1.192]\'','\'(-23.35--21.094]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
'\'(46.2-53.8]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(-inf-51.9]\'','\'(53.628-61.741]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-18.838--16.582]\'','\'(-1.203--0.994]\'','\'(-4.37--3.65]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','d '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(-inf-48.7]\'','\'(-inf-88.5]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(-inf-51.9]\'','\'(53.628-61.741]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-24.016-inf)\'','\'(-28.912-inf)\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-19.178--17.275]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-18.838--16.582]\'','\'(-1.203--0.994]\'','\'(-4.37--3.65]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','s '
'\'(38.6-46.2]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','d '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.576--0.367]\'','\'(-3.65--2.93]\'','\'(-23.037--20.936]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(38.6-46.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(76.2-83.4]\'','\'(-inf-48.7]\'','\'(88.5-94]\'','\'(-inf-51.4]\'','\'(-inf-25.5]\'','\'(-inf-51.9]\'','\'(69.854-77.967]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(14.21-20.7]\'','\'(-24.016-inf)\'','\'(-28.912-inf)\'','\'(25.385-inf)\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-24.887--22.984]\'','\'(-1.865--1.136]\'','\'(-4.54--3.424]\'','\'(-25.606--23.35]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(61.4-69]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(-inf-88.5]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(31.156-39.954]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-21.094--18.838]\'','\'(-1.621--1.412]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','s '
'\'(38.6-46.2]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(69.854-77.967]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-44.998--39.636]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-24.887--22.984]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-23.35--21.094]\'','\'(-0.785--0.576]\'','\'(-4.37--3.65]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(-inf-48.7]\'','\'(88.5-94]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.136--0.407]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.412--1.203]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-4.76--3.926]\'','s '
'\'(61.4-69]\'','\'(77.4-84.2]\'','\'(100.9-108.6]\'','\'(83.4-90.6]\'','\'(60.1-65.8]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(37.402-45.515]\'','\'(-35.557--28.284]\'','\'(-21.632--12.834]\'','\'(1.23-7.72]\'','\'(-40.864--35.248]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-18.838--16.582]\'','\'(-1.412--1.203]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','d '
'\'(46.2-53.8]\'','\'(36.6-43.4]\'','\'(62.4-70.1]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(8.081-15.354]\'','\'(22.358-31.156]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','d '
'\'(53.8-61.4]\'','\'(50.2-57]\'','\'(70.1-77.8]\'','\'(90.6-97.8]\'','\'(60.1-65.8]\'','\'(94-99.5]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(-13.738--6.465]\'','\'(13.56-22.358]\'','\'(-5.26-1.23]\'','\'(-40.864--35.248]\'','\'(-44.998--39.636]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-18.838--16.582]\'','\'(-1.412--1.203]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','d '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-44.998--39.636]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-4.37--3.65]\'','\'(-25.138--23.037]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(-inf-38.6]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(-inf-76.2]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(51.4-60.8]\'','\'(-inf-25.5]\'','\'(-inf-51.9]\'','\'(69.854-77.967]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(20.7-inf)\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-19.178--17.275]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(61.4-69]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(31.156-39.954]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-2.594--1.865]\'','\'(-7.888--6.772]\'','\'(-23.35--21.094]\'','\'(-inf--1.621]\'','\'(-6.53--5.81]\'','\'(-20.936--18.835]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','s '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-30.265--20.99]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(46.2-53.8]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(60.1-65.8]\'','\'(105-110.5]\'','\'(107.8-117.2]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-40.864--35.248]\'','\'(-50.36--44.998]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-25.138--23.037]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(53.8-61.4]\'','\'(57-63.8]\'','\'(85.5-93.2]\'','\'(83.4-90.6]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(98.4-107.8]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(-13.738--6.465]\'','\'(4.762-13.56]\'','\'(7.72-14.21]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-1.412--1.203]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','d '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.412--1.203]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-25.138--23.037]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','h '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-25.606--23.35]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.052--0.144]\'','\'(-3.092--2.258]\'','s '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.136--0.407]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.412--1.203]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(38.6-46.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-25.606--23.35]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-4.37--3.65]\'','\'(-25.138--23.037]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(46.2-53.8]\'','\'(50.2-57]\'','\'(70.1-77.8]\'','\'(90.6-97.8]\'','\'(82.9-88.6]\'','\'(116-121.5]\'','\'(60.8-70.2]\'','\'(38.5-45]\'','\'(65.7-72.6]\'','\'(61.741-69.854]\'','\'(0.808-8.081]\'','\'(22.358-31.156]\'','\'(1.23-7.72]\'','\'(-63.328--57.712]\'','\'(-61.084--55.722]\'','\'(6.835-16.11]\'','\'(-15.446--8.897]\'','\'(-17.564--10.778]\'','\'(-24.887--22.984]\'','\'(0.322-1.051]\'','\'(-2.308--1.192]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-23.037--20.936]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','o '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-1.136--0.407]\'','\'(-5.656--4.54]\'','\'(-18.838--16.582]\'','\'(-0.994--0.785]\'','\'(-4.37--3.65]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(61.4-69]\'','\'(50.2-57]\'','\'(70.1-77.8]\'','\'(90.6-97.8]\'','\'(77.2-82.9]\'','\'(105-110.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(-13.738--6.465]\'','\'(13.56-22.358]\'','\'(1.23-7.72]\'','\'(-57.712--52.096]\'','\'(-55.722--50.36]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-21.094--18.838]\'','\'(-1.412--1.203]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','d '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-4.37--3.65]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-inf--24.887]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-0.994--0.785]\'','\'(-4.37--3.65]\'','\'(-25.138--23.037]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(76.6-84.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(37.402-45.515]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(-5.26-1.23]\'','\'(-35.248--29.632]\'','\'(-44.998--39.636]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(0.322-1.051]\'','\'(-2.308--1.192]\'','\'(-21.094--18.838]\'','\'(-0.785--0.576]\'','\'(-3.65--2.93]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(31.156-39.954]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-5.656--4.54]\'','\'(-21.094--18.838]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(60.1-65.8]\'','\'(99.5-105]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-40.864--35.248]\'','\'(-44.998--39.636]\'','\'(-20.99--11.715]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-0.407-0.322]\'','\'(-4.54--3.424]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-5.09--4.37]\'','\'(-25.138--23.037]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(31.156-39.954]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-25.606--23.35]\'','\'(-1.412--1.203]\'','\'(-5.81--5.09]\'','\'(-20.936--18.835]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','s '
'\'(61.4-69]\'','\'(70.6-77.4]\'','\'(100.9-108.6]\'','\'(83.4-90.6]\'','\'(60.1-65.8]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(-28.284--21.011]\'','\'(-12.834--4.036]\'','\'(7.72-14.21]\'','\'(-40.864--35.248]\'','\'(-39.636--34.274]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.136--0.407]\'','\'(-6.772--5.656]\'','\'(-18.838--16.582]\'','\'(-0.994--0.785]\'','\'(-5.09--4.37]\'','\'(-18.835--16.734]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','d '
'\'(53.8-61.4]\'','\'(43.4-50.2]\'','\'(70.1-77.8]\'','\'(83.4-90.6]\'','\'(60.1-65.8]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(-6.465-0.808]\'','\'(13.56-22.358]\'','\'(7.72-14.21]\'','\'(-40.864--35.248]\'','\'(-39.636--34.274]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-21.094--18.838]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-20.936--18.835]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
